Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Rating,Total_Sales,Customer type_Member,Customer type_Memberr,Customer type_Normal,Gender_Male,Payment_Credit card,Payment_Ewallet
750-67-8428,A,1,0,0,Health and beauty,74.69,7,26.1415,,2019-01-05,13:08,9.1,74.6974.6974.6974.6974.6974.6974.69,False,False,True,True,False,True
226-31-3081,C,0,1,0,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,9.6,15.2815.2815.2815.2815.28,False,False,True,True,False,False
631-41-3108,A,1,0,0,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,7.4,46.3346.3346.3346.3346.3346.3346.33,False,False,True,True,True,False
123-19-1176,A,1,0,0,Health and beauty,58.22,8,16.2155,489.048,2019-01-27,8 - 30 PM,8.4,58.2258.2258.2258.2258.2258.2258.2258.22,False,False,True,True,False,True
373-73-7910,A,1,0,0,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,5.3,86.3186.3186.3186.3186.3186.3186.31,False,False,True,True,False,True
699-14-3026,C,0,1,0,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,4.1,85.3985.3985.3985.3985.3985.3985.39,False,False,True,True,False,True
355-53-5943,A,1,0,0,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,5.8,68.8468.8468.8468.8468.8468.84,False,False,True,True,False,True
315-22-5665,C,0,1,0,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,8.0,73.5673.5673.5673.5673.5673.5673.5673.5673.5673.56,False,False,True,True,False,True
665-32-9167,A,1,0,0,Health and beauty,36.26,2,36.78,76.146,2019-01-10,17:15,7.2,36.2636.26,False,False,True,True,True,False
692-92-5582,B,0,0,1,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,5.9,54.8454.8454.84,False,False,True,True,True,False
351-62-0822,B,0,0,1,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,4.5,14.4814.4814.4814.48,False,False,True,True,False,True
